Category,Satellite_System,Mode_Sensor,Resolution,Polarization,Archive_SLC_Price,Tasking_PathImage_Price,Unit,Notes
รายละเอียดปานกลาง (> 2 ม.),LANDSAT-5,,30 m.,,150,N/A,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล | Level 1T (7 Bands)
รายละเอียดปานกลาง (> 2 ม.),LANDSAT-7,,30 m.,,150,N/A,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตข้อมูลจากคลังข้อมูล | Level 1T (8 Bands)
รายละเอียดปานกลาง (> 2 ม.),LANDSAT-8,,30 m.,,150,N/A,บาท/ภาพ,หากให้ สทอภ. ดาวน์โหลด คิดค่าดำเนินการ 150 บาท/ภาพ | Level 1T (11 Bands)
รายละเอียดปานกลาง (> 2 ม.),LANDSAT-9,,30 m.,,150,N/A,บาท/ภาพ,หากให้ สทอภ. ดาวน์โหลด คิดค่าดำเนินการ 150 บาท/ภาพ | Level 1T (11 Bands)
รายละเอียดปานกลาง (> 2 ม.),PLANETSCOPE,,3 m.,,180,240,บาท/ตร.กม./ปี,"คลัง: Access+Download, ติดตาม: Monitoring | สัญญา 1 ปี | พื้นที่สั่งขั้นต่ำ 100 ตร.กม. | ดูและดาวน์โหลดผ่าน Planet Explorer, Planet API, Desktop GIS"
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Standard,25 m.,,"57,600","57,600",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Spotlight A,1 m.,,"134,400","134,400",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Utra-Fine,3 m.,,"86,400","86,400",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Wide Utra-Fine,3 m.,,"124,800","124,800",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Multi-Look Fine,8 m.,,"67,200","67,200",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Wide Multi-Look Fine,8 m.,,"120,000","120,000",บาท/ภาพ,ราคา SLC vs Path Image
ระบบเรดาร์ (RADARSAT-2),RADARSAT-2 (C band),Fine,8 m.,,"57,600","57,600",บาท/ภาพ,ราคา SLC vs Path Image
